"Study","SampleSize","Scenario","Method","Effect","Replications","SuccessRate","Bias","RMSE","Coverage95","MonteCarloSE","AvgLength"
"Comparator",300,"Symmetric bimodal","Imai bootstrap","PNIE",500,1,0.00174257104942479,0.0937649191713466,0.964,0.0083311463797007,0.384114638798453
"Comparator",300,"Symmetric bimodal","Imai bootstrap","TNIE",500,1,-0.000821097977540331,0.0372764601584332,0.954,0.00936845771725528,0.16017834666615
"Comparator",300,"Symmetric bimodal","Imai bootstrap","PNDE",500,1,-0.00350132363782297,0.159581014540893,0.956,0.00917213170424412,0.607600131362128
"Comparator",300,"Symmetric bimodal","Imai bootstrap","TNDE",500,1,-0.0060649926647881,0.154842964837167,0.966,0.00810481338464989,0.60929742105475
"Comparator",300,"Symmetric bimodal","Imai bootstrap","TE",500,1,-0.00432242161536334,0.14990226057297,0.966,0.00810481338464989,0.56509930645228
"Comparator",300,"Symmetric bimodal","Imai quasi-Bayes","PNIE",500,1,0.0018096420086724,0.0938328180781755,0.954,0.00936845771725528,0.387892811538593
"Comparator",300,"Symmetric bimodal","Imai quasi-Bayes","TNIE",500,1,-0.00080954742801598,0.0373133274280542,0.958,0.00897061870775924,0.161539486539686
"Comparator",300,"Symmetric bimodal","Imai quasi-Bayes","PNDE",500,1,0.000313819135205551,0.142104128127797,0.96,0.00876356092008266,0.615636808100252
"Comparator",300,"Symmetric bimodal","Imai quasi-Bayes","TNDE",500,1,-0.00230537030148292,0.138315511614911,0.962,0.0085505555375075,0.617303314337743
"Comparator",300,"Symmetric bimodal","Imai quasi-Bayes","TE",500,1,-0.000495728292810512,0.131889958668291,0.964,0.0083311463797007,0.574940835621716
"Comparator",300,"Symmetric bimodal","medflex NEM","PNIE",500,1,0.00127992376855945,0.096032176018265,0.962,0.0085505555375075,0.390465047563079
"Comparator",300,"Symmetric bimodal","medflex NEM","TNIE",500,1,-0.000413292474884433,0.0400550577863234,0.936,0.0109456840809517,0.172667015402606
"Comparator",300,"Symmetric bimodal","medflex NEM","PNDE",500,1,-8.0073645593774e-05,0.141470232518825,0.954,0.00936845771725528,0.574971018206166
"Comparator",300,"Symmetric bimodal","medflex NEM","TNDE",500,1,-0.00177328988903774,0.140823235702368,0.948,0.00992935043192656,0.576007641118955
"Comparator",300,"Symmetric bimodal","medflex NEM","TE",500,1,-0.000493366120478301,0.131836417570802,0.956,0.00917213170424412,0.526864853635636
"Comparator",300,"Symmetric bimodal","OLS","PNIE",500,1,0.00174257104942475,0.0937649191713466,0.956,0.00917213170424412,0.384186722778938
"Comparator",300,"Symmetric bimodal","OLS","TNIE",500,1,-0.00082109797754031,0.0372764601584332,0.93,0.0114105214604767,0.157006165922374
"Comparator",300,"Symmetric bimodal","OLS","PNDE",500,1,0.000363609503902376,0.142017173654154,0.954,0.00936845771725528,0.570834412203719
"Comparator",300,"Symmetric bimodal","OLS","TNDE",500,1,-0.00220005952306278,0.138109825689134,0.95,0.00974679434480897,0.571914725600827
"Comparator",300,"Symmetric bimodal","OLS","TE",500,1,-0.000457488473638025,0.131736940290068,0.956,0.00917213170424412,0.526612686541757
"Comparator",300,"Symmetric bimodal","Semiparametric","PNIE",489,0.978,-0.000509484642069341,0.0327850570750065,0.942740286298569,0.010506696558535,0.0985194113176564
"Comparator",300,"Symmetric bimodal","Semiparametric","TNIE",489,0.978,-0.000541355919459686,0.0245569514067828,0.932515337423313,0.0113442581977156,0.0404586526612299
"Comparator",300,"Symmetric bimodal","Semiparametric","PNDE",489,0.978,-8.07811356637305e-06,0.0877035083175232,0.952965235173824,0.00957400362688952,0.272566795271948
"Comparator",300,"Symmetric bimodal","Semiparametric","TNDE",489,0.978,-3.99493909567846e-05,0.0851028826347679,0.946830265848671,0.0101464444215702,0.272144999254293
"Comparator",300,"Symmetric bimodal","Semiparametric","TE",489,0.978,-0.000549434033026148,0.0833888320239597,0.950920245398773,0.00976942062377049,0.266300111816153
