"Study","SampleSize","Scenario","Replication","Effect","Estimate","StdError","Lower","Upper","Method"
"Main",200,"Asymmetric mixture",634,"PNIE",-0.322061707379348,0.0301867729939365,-0.38122669525695,-0.262896719501746,"Semiparametric"
"Main",200,"Asymmetric mixture",634,"TNIE",0.0885111698276465,0.0139288267679847,0.061211171015499,0.115811168639794,"Semiparametric"
"Main",200,"Asymmetric mixture",634,"PNDE",0.725318365381406,0.0841362336668542,0.560414377599525,0.890222353163286,"Semiparametric"
"Main",200,"Asymmetric mixture",634,"TNDE",1.1358912425884,0.0861925564136459,0.966956936282217,1.30482554889458,"Semiparametric"
"Main",200,"Asymmetric mixture",634,"TE",0.813829535209052,0.0833691551750715,0.650428993644381,0.977230076773723,"Semiparametric"
"Main",200,"Gaussian",471,"PNIE",-0.39437918064276,0.121868373691316,-0.633236803932208,-0.155521557353313,"OLS"
"Main",200,"Gaussian",471,"TNIE",0.202520975905622,0.0758448196331843,0.0538678610106446,0.3511740908006,"OLS"
"Main",200,"Gaussian",471,"PNDE",0.734789902400229,0.189188408928706,0.36398743460753,1.10559237019293,"OLS"
"Main",200,"Gaussian",471,"TNDE",1.33169005894861,0.185571202142571,0.96797718618137,1.69540293171585,"OLS"
"Main",200,"Gaussian",471,"TE",0.937310878305851,0.165556822738243,0.612825468344013,1.26179628826769,"OLS"
"Main",200,"Gaussian",471,"PNIE",-0.340244794059483,0.108857017514058,-0.553600627851483,-0.126888960267483,"Semiparametric"
"Main",200,"Gaussian",471,"TNIE",0.183265378061256,0.0664092628242439,0.0531056146858835,0.313425141436629,"Semiparametric"
"Main",200,"Gaussian",471,"PNDE",0.822937927996619,0.174285430394197,0.481344761393929,1.16453109459931,"Semiparametric"
"Main",200,"Gaussian",471,"TNDE",1.34644810011736,0.168452757799652,1.01628676173359,1.67660943850112,"Semiparametric"
"Main",200,"Gaussian",471,"TE",1.00620330605788,0.155012865927516,0.702383671699607,1.31002294041614,"Semiparametric"
"Main",200,"Skew-normal",731,"PNIE",-0.603938082776823,0.135716697681028,-0.869937922332349,-0.337938243221298,"OLS"
"Main",200,"Skew-normal",731,"TNIE",0.142732807502405,0.0728514197345636,-5.33513999504132e-05,0.28551896640476,"OLS"
"Main",200,"Skew-normal",731,"PNDE",0.639696708656644,0.199211580415305,0.249249185739341,1.03014423157395,"OLS"
"Main",200,"Skew-normal",731,"TNDE",1.38636759893587,0.182763825468771,1.02815708334032,1.74457811453143,"OLS"
"Main",200,"Skew-normal",731,"TE",0.782429516159048,0.168740587835829,0.451704041270706,1.11315499104739,"OLS"
"Main",200,"Skew-normal",731,"PNIE",-0.415109138828415,0.120209973963466,-0.650716358379306,-0.179501919277525,"Semiparametric"
"Main",200,"Skew-normal",731,"TNIE",0.145934617970729,0.0500867451021918,0.0477664014675954,0.244102834473863,"Semiparametric"
"Main",200,"Skew-normal",731,"PNDE",0.73463236400771,0.154917899758295,0.430998859920865,1.03826586809455,"Semiparametric"
"Main",200,"Skew-normal",731,"TNDE",1.29567612080685,0.16509877849601,0.97208846106312,1.61926378055059,"Semiparametric"
"Main",200,"Skew-normal",731,"TE",0.880566981978439,0.139435012487955,0.607279379318155,1.15385458463872,"Semiparametric"
"Main",500,"Skew-normal",994,"PNIE",-0.278149683813227,0.0651529765355938,-0.405847171308575,-0.15045219631788,"OLS"
"Main",500,"Skew-normal",994,"TNIE",0.082267762989404,0.0362571304025005,0.0112050932177308,0.153330432761077,"OLS"
"Main",500,"Skew-normal",994,"PNDE",0.711877925036076,0.105534852394704,0.505033415228705,0.918722434843446,"OLS"
"Main",500,"Skew-normal",994,"TNDE",1.07229537183871,0.109925767115783,0.856844827318835,1.28774591635858,"OLS"
"Main",500,"Skew-normal",994,"TE",0.79414568802548,0.100303447059149,0.597554544264329,0.990736831786631,"OLS"
"Main",500,"Skew-normal",994,"PNIE",-0.275004653406656,0.0535174305963348,-0.379896889920594,-0.170112416892718,"Semiparametric"
"Main",500,"Skew-normal",994,"TNIE",0.0718977598109686,0.0197049810591172,0.033276706619055,0.110518813002882,"Semiparametric"
"Main",500,"Skew-normal",994,"PNDE",0.743933240617755,0.0867925274724351,0.573823012644579,0.914043468590931,"Semiparametric"
"Main",500,"Skew-normal",994,"TNDE",1.09083565383538,0.0890062523158469,0.916386604897435,1.26528470277332,"Semiparametric"
"Main",500,"Skew-normal",994,"TE",0.815831000428723,0.0793364867867374,0.66033434366678,0.971327657190666,"Semiparametric"
"Main",200,"Asymmetric mixture",872,"PNIE",-0.231190264492466,0.131064242179438,-0.4880714588252,0.025690929840269,"OLS"
"Main",200,"Asymmetric mixture",872,"TNIE",0.0320203608185491,0.0287768402809532,-0.0243812097209806,0.0884219313580788,"OLS"
"Main",200,"Asymmetric mixture",872,"PNDE",0.826144510787324,0.17334145880216,0.486401494507457,1.16588752706719,"OLS"
"Main",200,"Asymmetric mixture",872,"TNDE",1.08935513609834,0.168977675454868,0.758164978015499,1.42054529418118,"OLS"
"Main",200,"Asymmetric mixture",872,"TE",0.858164871605873,0.164560203584424,0.535632799291824,1.18069694391992,"OLS"
"Main",200,"Asymmetric mixture",872,"PNIE",-0.357187695567842,0.0298313382742418,-0.415656044195987,-0.298719346939697,"Semiparametric"
"Main",200,"Asymmetric mixture",872,"TNIE",0.0850036015939609,0.0126239489055663,0.0602611163963772,0.109746086791545,"Semiparametric"
