"Study","SampleSize","Scenario","Replication","Effect","Estimate","StdError","Lower","Upper","Method"
"Comparator",300,"Gaussian",2,"TNIE",0.0429765547832286,0.0458644697008494,-0.0469161540004648,0.132869263566922,"Semiparametric"
"Comparator",300,"Gaussian",2,"PNDE",0.803120759790144,0.163164509843978,0.483324196940817,1.12291732263947,"Semiparametric"
"Comparator",300,"Gaussian",2,"TNDE",1.16559640324062,0.147744564713986,0.876022377489659,1.45517042899158,"Semiparametric"
"Comparator",300,"Gaussian",2,"TE",0.846097314573373,0.143524956097672,0.564793569739243,1.1274010594075,"Semiparametric"
"Comparator",300,"Gaussian",2,"PNIE",-0.27202358891726,NA,-0.494445214526194,-0.076676855649754,"Imai quasi-Bayes"
"Comparator",300,"Gaussian",2,"TNIE",0.0452166234073865,NA,-0.00330076821361692,0.115123570489827,"Imai quasi-Bayes"
"Comparator",300,"Gaussian",2,"PNDE",0.821161801019723,NA,0.520368063251964,1.13685092854283,"Imai quasi-Bayes"
"Comparator",300,"Gaussian",2,"TNDE",1.13840201334437,NA,0.841986301445566,1.45069472384093,"Imai quasi-Bayes"
"Comparator",300,"Gaussian",2,"TE",0.86637842442711,NA,0.573491370010862,1.16453643154297,"Imai quasi-Bayes"
"Comparator",300,"Gaussian",2,"PNIE",-0.274123624906663,NA,-0.471382179321958,-0.0632125502978191,"Imai bootstrap"
"Comparator",300,"Gaussian",2,"TNIE",0.0451219030247629,NA,-0.00847797789127067,0.109414964234554,"Imai bootstrap"
"Comparator",300,"Gaussian",2,"PNDE",0.809218378198373,NA,0.500777116380291,1.10873012806431,"Imai bootstrap"
"Comparator",300,"Gaussian",2,"TNDE",1.1284639061298,NA,0.846317535886238,1.44063473182206,"Imai bootstrap"
"Comparator",300,"Gaussian",2,"TE",0.854340281223135,NA,0.56995897066051,1.14173568066509,"Imai bootstrap"
"Comparator",300,"Gaussian",2,"PNIE",-0.264968093722531,0.112500296970265,-0.485464624034312,-0.0444715634107507,"medflex NEM"
"Comparator",300,"Gaussian",2,"TNIE",0.0371343367631793,0.0363805395559128,-0.0341702105045445,0.108438884030903,"medflex NEM"
"Comparator",300,"Gaussian",2,"PNDE",0.83339835671971,0.155766710569892,0.528101214012447,1.13869549942697,"medflex NEM"
"Comparator",300,"Gaussian",2,"TNDE",1.13550078720542,0.152846852247377,0.835926461650247,1.43507511276059,"medflex NEM"
"Comparator",300,"Gaussian",2,"TE",0.87053269348289,0.144597946130853,0.587125926827955,1.15393946013782,"medflex NEM"
"Comparator",300,"Skew-normal",2,"PNIE",-0.288069313891515,0.0844444464788541,-0.453577387684489,-0.122561240098541,"OLS"
"Comparator",300,"Skew-normal",2,"TNIE",0.0993963101899422,0.0399454354200054,0.0211046954199611,0.177687924959923,"OLS"
"Comparator",300,"Skew-normal",2,"PNDE",0.488800583142731,0.130534745002451,0.232957184206806,0.744643982078655,"OLS"
"Comparator",300,"Skew-normal",2,"TNDE",0.876266207224188,0.139253118003007,0.603335111203388,1.14919730324499,"OLS"
"Comparator",300,"Skew-normal",2,"TE",0.588196893332673,0.119915236352676,0.353167348883819,0.823226437781527,"OLS"
"Comparator",300,"Skew-normal",2,"PNIE",-0.321732932017581,0.0815235172395235,-0.481516089700077,-0.161949774335085,"Semiparametric"
